City;Population;Visitors;Is_capital;Country
Paris;2,23;28;1;France
Stockholm;0,81;10;1;Sweden
London;8,2;26,3;1;England
Berlin;3,44;8,26;1;Germany
Munich;1,471;8,8;0;Germany
Oporto;0,237;1,6;0;Portugal
Milan;1,32;8,81;0;Italy
Bratislava;0,437;5,4;1;Slovakia
Vienna;1,68;4,87;1;Austria
Rome;2,75;6,033;1;Italy
Barcelona;1,62;19,29;0;Spain
Madrid;3,2;14;1;Spain
Dublin;1,3;5,5;1;Ireland
Brussels;0,16;3,6;1;Belgium
Zurich;0,38;2,47;0;Switzerland
Warsaw;1,69;10;1;Poland
Budapest;1,72;2,58;1;Hungary
Copenhagen;0,51;7,58;1;Denmark
Amsterdam;0,76;4,62;1;Netherlands
Lyon;0,506;6;0;France
Hamburg;1,77;4,37;0;Germany
Lisbon;0,49;3;1;Portugal
Prague;1,2;4,74;1;Check Republic
Oslo;0,599;4,8;1;Norway
Helsinki;0,589;3;1;Finland
Edinburgh;0,488;3,27;1;Scotland
Geneva;0,19;1,35;0;Switzerland
Ljubljana;0,284;0,937;1;Slovenia
Athens;0,66;5,5;1;Greece
Luxembourg;0,115;1,156;1;Luxembourg
Krakow;0,769;14;0;Poland
